Distance_(pixels),Gray_Value
0,109.000
1,113.324
2,115.908
3,118.275
4,120.329
5,121.183
6,121.850
7,123.203
8,125.520
9,129.374
10,135.200
11,140.082
12,146.751
13,153.170
14,157.527
15,164.555
16,173.162
17,184.000
18,193.089
19,199.293
20,204.546
21,206.329
22,206.951
23,208.436
24,211.113
25,214.567
26,215.520
27,216.606
28,217.415
29,219.020
30,219.638
31,217.783
32,214.720
33,213.430
34,211.136
35,209.472
36,210.578
37,211.752
38,211.286
39,208.175
40,204.659
41,201.453
42,194.736
43,194.745
44,200.556
45,203.514
46,203.468
47,202.902
48,203.286
49,200.479
50,195.587
51,191.784
52,189.934
53,185.759
54,178.126
55,169.625
56,162.891
57,157.836
58,158.418
59,158.805
60,158.697
61,156.792
62,154.960
63,151.825
64,148.330
65,146.276
66,144.817
67,144.804
68,142.706
69,140.150
70,134.041
71,132.338
72,130.980
73,130.259
74,129.624
75,129.781
76,129.758
77,127.992
78,125.225
79,123.176
80,120.263
81,117.631
82,117.830
83,119.386
84,121.150
85,121.366
86,118.609
87,116.159
88,114.264
89,110.189
90,109.362
91,111.141
92,111.304
93,113.469
94,116.024
95,116.507
96,116.295
97,114.805
98,111.500
99,109.290
100,108.421
101,106.988
102,105.886
103,105.509
104,102.288
105,103.773
106,104.421
107,105.719
108,110.128
109,115.821
110,119.273
111,120.658
112,119.565
113,117.920
114,117.701
115,120.014
116,122.701
117,126.344
118,128.660
119,130.099
120,129.810
121,127.519
122,125.559
123,126.520
124,127.825
125,130.431
126,130.573
127,131.123
128,132.904
129,133.696
130,132.639
131,131.893
132,132.286
133,134.156
134,135.944
135,140.869
136,147.551
137,153.777
138,159.628
139,165.247
140,169.374
141,174.368
142,176.238
143,176.105
144,176.681
145,175.370
146,176.797
147,181.104
148,183.167
149,182.419
150,179.265
151,179.429
152,180.830
153,183.034
154,184.463
155,183.866
156,183.510
157,184.186
158,184.731
159,185.786
160,184.312
161,184.704
162,185.733
163,184.300
164,184.397
165,186.103
166,186.664
167,185.562
168,182.993
169,178.816
170,174.895
171,173.349
172,172.347
173,170.063
174,166.006
175,161.604
176,156.067
177,153.133
178,150.421
179,148.932
180,148.581
181,148.481
182,144.753
183,142.201
184,138.676
185,133.458
186,130.307
187,128.978
188,128.112
189,124.166
190,118.747
191,114.704
192,111.309
193,108.614
194,106.289
195,102.720
196,100.000
