Distance_(pixels),Gray_Value
0,136.333
1,134.256
2,132.628
3,130.741
4,129.828
5,132.799
6,140.185
7,148.921
8,152.785
9,155.653
10,159.187
11,161.292
12,164.131
13,170.586
14,177.051
15,187.564
16,196.598
17,202.267
18,208.557
19,214.087
20,214.740
21,215.066
22,219.161
23,224.168
24,230.748
25,237.355
26,241.524
27,243.219
28,244.357
29,243.142
30,243.714
31,245.460
32,245.785
33,244.468
34,243.637
35,243.166
36,240.240
37,236.353
38,231.340
39,226.365
40,224.966
41,223.801
42,223.783
43,224.284
44,226.506
45,226.341
46,224.858
47,221.909
48,217.505
49,209.276
50,203.726
51,199.345
52,195.174
53,191.966
54,188.214
55,185.159
56,182.244
57,178.547
58,177.226
59,174.841
60,169.945
61,166.667
62,163.333
63,161.966
64,161.685
65,160.496
66,160.094
67,160.229
68,157.492
69,153.926
70,149.146
71,141.373
72,136.148
73,130.536
74,124.573
75,122.395
76,119.100
77,118.846
78,122.906
79,127.575
80,132.852
81,135.693
82,134.371
83,132.050
84,128.126
85,127.805
86,128.668
87,129.851
88,129.182
89,123.610
90,118.190
91,114.453
92,112.242
93,111.801
94,112.606
95,115.416
96,119.785
97,121.862
98,122.641
99,124.026
100,127.947
101,131.009
102,131.279
103,132.182
104,133.130
105,134.477
106,135.819
107,140.410
108,144.548
109,146.046
110,144.507
111,142.727
112,143.095
113,140.629
114,140.398
115,140.665
116,139.667
117,139.008
118,137.846
119,140.919
120,145.678
121,149.114
122,150.778
123,152.074
124,152.438
125,151.800
126,152.665
127,155.987
128,159.554
129,162.820
130,167.820
131,171.308
132,172.749
133,174.953
134,177.691
135,182.473
136,185.694
137,187.049
138,190.187
139,192.722
140,199.241
141,208.155
142,212.373
143,216.377
144,220.106
145,218.921
146,217.868
147,218.344
148,220.032
149,221.293
150,221.078
151,220.960
152,218.618
153,215.689
154,217.268
155,218.709
156,218.062
157,216.956
158,214.733
159,211.897
160,209.871
161,208.029
162,206.018
163,201.714
164,194.345
165,187.990
166,184.035
167,179.277
168,173.349
169,168.781
170,166.304
171,161.409
172,153.626
173,144.693
174,139.376
175,137.280
176,135.550
177,133.262
178,129.981
179,125.454
180,120.788
181,118.415
182,115.898
183,114.333
