Distance_(pixels),Gray_Value
0,50.333
1,69.947
2,61.369
3,69.939
4,69.023
5,66.265
6,76.941
7,74.402
8,96.685
9,81.984
10,106.269
11,94.948
12,108.500
13,107.442
14,114.698
15,131.447
16,133.963
17,136.972
18,150.542
19,135.039
20,137.931
21,153.964
22,175.825
23,158.810
24,175.889
25,162.856
26,176.883
27,170.646
28,174.005
29,169.376
30,185.302
31,169.900
32,180.741
33,183.870
34,182.736
35,190.968
36,168.792
37,171.158
38,167.722
39,174.444
40,174.296
41,165.198
42,163.441
43,153.441
44,160.870
45,159.727
46,154.625
47,147.969
48,150.889
49,145.421
50,140.924
51,143.693
52,134.426
53,147.057
54,127.073
55,131.770
56,120.130
57,127.389
58,116.440
59,105.431
60,117.542
61,105.469
62,112.726
63,99.974
64,90.778
65,87.146
66,93.760
67,84.536
68,75.403
69,83.981
70,80.979
71,77.989
72,81.000
73,77.704
74,79.039
75,83.912
76,85.815
77,89.155
78,87.174
79,87.477
80,86.815
81,94.185
82,95.750
83,99.021
84,100.778
85,103.405
86,106.844
87,113.772
88,113.259
89,116.879
90,122.844
91,119.942
92,126.593
93,128.959
94,137.720
95,132.793
96,139.778
97,148.921
98,153.076
99,161.026
100,167.370
101,165.345
102,169.729
103,170.242
104,170.833
105,172.224
106,178.205
107,174.298
108,189.583
109,187.340
110,192.913
111,185.463
112,188.333
113,189.627
114,186.319
115,185.888
116,182.894
117,177.117
118,169.134
119,166.246
120,170.833
121,162.694
122,152.455
123,151.895
124,144.009
125,125.480
126,120.729
127,110.694
128,103.741
129,92.365
130,82.333
131,76.389
132,73.681
133,78.411
134,50.478
135,67.573
136,48.500
137,67.217
138,51.198
139,51.684
140,51.185
141,57.369
142,51.417
143,63.280
144,61.667
