Distance_(pixels),Gray_Value
0,147.000
1,140.127
2,135.417
3,144.422
4,154.310
5,159.550
6,163.570
7,164.738
8,163.798
9,161.842
10,160.299
11,161.787
12,166.296
13,174.883
14,182.466
15,182.000
16,179.143
17,181.689
18,188.046
19,193.699
20,197.031
21,196.900
22,196.228
23,197.800
24,200.513
25,203.884
26,207.909
27,210.488
28,212.774
29,211.009
30,206.843
31,207.954
32,209.662
33,212.061
34,214.218
35,213.099
36,211.010
37,211.506
38,213.575
39,215.801
40,217.340
41,216.481
42,213.350
43,207.376
44,201.870
45,201.964
46,204.389
47,204.017
48,201.206
49,198.069
50,194.431
51,192.945
52,191.346
53,183.504
54,171.639
55,162.923
56,158.030
57,148.051
58,134.921
59,133.355
60,137.874
61,139.164
62,137.446
63,133.797
64,130.729
65,132.698
66,136.264
67,134.925
68,131.428
69,130.940
70,132.108
71,134.090
72,134.073
73,130.233
74,125.418
75,124.622
76,127.400
77,128.105
78,126.990
79,124.207
80,121.834
81,129.106
82,142.606
83,147.441
84,143.266
85,140.514
86,137.205
87,131.007
88,123.569
89,118.511
90,116.001
91,119.162
92,125.387
93,128.149
94,126.544
95,124.027
96,120.908
97,117.642
98,116.050
99,117.265
100,117.786
101,113.500
102,108.618
103,112.045
104,119.416
105,116.601
106,108.798
107,112.391
108,124.273
109,129.814
110,128.251
111,130.459
112,136.832
113,137.385
114,132.897
115,132.354
116,133.293
117,132.717
118,133.640
119,135.026
120,137.328
121,138.117
122,136.882
123,135.348
124,135.083
125,135.642
126,136.333
127,138.928
128,141.423
129,140.762
130,137.924
131,138.027
132,140.140
133,139.928
134,138.391
135,139.125
136,142.319
137,142.777
138,140.265
139,140.419
140,144.283
141,146.508
142,149.773
143,150.836
144,149.719
145,152.709
146,156.711
147,160.582
148,168.454
149,172.071
150,173.182
151,170.287
152,165.911
153,170.231
154,180.112
155,185.059
156,185.075
157,189.440
158,198.190
159,203.408
160,204.253
161,205.252
162,207.782
163,210.818
164,214.162
165,216.061
166,216.392
167,220.062
168,227.110
169,223.831
170,207.164
171,205.688
172,219.119
173,222.373
174,215.096
175,209.310
176,204.551
177,205.486
178,208.372
179,201.281
180,183.916
181,181.490
182,192.490
183,193.578
184,184.865
185,167.590
186,145.510
187,134.021
188,135.882
189,134.844
190,127.551
191,122.762
192,120.151
193,118.749
194,119.893
195,120.197
196,118.259
197,116.112
198,114.159
199,116.144
200,124.079
201,128.532
202,123.667
