Distance_(pixels),Gray_Value
0,139.667
1,144.195
2,151.416
3,160.151
4,160.791
5,157.507
6,161.313
7,175.260
8,188.064
9,193.576
10,190.205
11,183.909
12,187.204
13,198.415
14,206.752
15,212.484
16,216.667
17,220.454
18,222.783
19,222.415
20,223.550
21,226.175
22,229.707
23,231.753
24,233.657
25,235.509
26,234.999
27,233.677
28,232.332
29,231.607
30,233.752
31,238.086
32,238.034
33,232.735
34,227.203
35,221.834
36,220.366
37,223.811
38,228.942
39,233.825
40,229.925
41,220.650
42,213.018
43,205.251
44,189.553
45,171.822
46,164.144
47,164.874
48,165.382
49,164.659
50,161.584
51,158.365
52,159.763
53,163.810
54,164.714
55,163.090
56,163.817
57,166.270
58,167.899
59,170.037
60,170.704
61,168.951
62,162.959
63,154.979
64,156.069
65,161.407
66,159.882
67,153.666
68,147.978
69,142.214
70,140.807
71,141.616
72,139.229
73,136.190
74,135.922
75,136.245
76,130.143
77,124.537
78,132.945
79,144.196
80,140.190
81,128.253
82,123.527
83,122.498
84,118.992
85,116.827
86,120.232
87,123.080
88,117.697
89,112.050
90,116.369
91,124.588
92,127.930
93,128.720
94,129.722
95,127.781
96,120.669
97,113.094
98,113.071
99,117.413
100,127.600
101,138.860
102,143.237
103,145.425
104,147.481
105,147.711
106,139.558
107,131.501
108,134.584
109,140.216
110,138.797
111,137.042
112,140.254
113,147.494
114,158.456
115,166.581
116,162.450
117,156.929
118,157.074
119,160.528
120,161.079
121,160.393
122,161.373
123,164.215
124,168.284
125,168.375
126,163.377
127,158.471
128,156.832
129,157.271
130,160.309
131,164.601
132,172.048
133,178.808
134,176.005
135,173.011
136,180.968
137,188.713
138,191.870
139,194.623
140,196.273
141,195.834
142,196.004
143,196.016
144,204.839
145,214.092
146,212.689
147,209.650
148,212.644
149,215.310
150,212.767
151,213.653
152,218.579
153,221.755
154,225.085
155,226.490
156,225.519
157,224.126
158,223.668
159,221.865
160,215.281
161,210.837
162,211.075
163,210.527
164,208.693
165,208.732
166,206.699
167,200.947
168,189.033
169,174.051
170,163.209
171,156.483
172,154.068
173,149.225
174,147.782
175,148.231
176,138.584
177,130.333
